platform,appid,country,currency,initial,final,discount_percent,release_date
steam,436780,AU,AUD,43.99,35.19,20,"3 Nov, 2025"
steam,381210,BR,BRL,69.99,69.99,0,"14 Jun, 2016"
steam,2062430,FR,EUR,14.99,14.99,0,"15 Oct, 2025"
steam,2300320,CA,CAD,49.99,49.99,0,"12 Nov, 2024"
steam,3450310,AU,AUD,84.95,84.95,0,"4 Nov, 2025"
steam,2807960,BR,BRL,299.0,299.0,0,"10 Oct, 2025"
steam,3948510,TR,USD,19.99,19.99,0,"30 Oct, 2025"
steam,2807960,AU,AUD,109.95,109.95,0,"10 Oct, 2025"
steam,1627720,FR,EUR,59.99,29.99,50,"18 Sep, 2023"
steam,252490,TR,USD,18.99,11.39,40,"8 Feb, 2018"
steam,553850,AU,AUD,59.95,59.95,0,"8 Feb, 2024"
steam,1627720,BR,BRL,249.9,124.95,50,"18 Sep, 2023"
steam,3949040,AU,AUD,11.79,11.79,0,"21 Oct, 2025"
steam,1158310,CA,CAD,66.99,20.09,70,"1 Sep, 2020"
steam,3405690,BR,BRL,299.0,299.0,0,"25 Sep, 2025"
steam,3167020,US,USD,17.99,17.99,0,"Oct 16, 2025"
steam,436780,US,USD,29.99,23.99,20,"Nov 3, 2025"
steam,436780,TR,USD,13.99,11.19,20,"3 Nov, 2025"
steam,1151340,AR,USD,23.99,23.99,0,"14 Apr, 2020"
steam,1984270,FR,EUR,69.99,69.99,0,"2 Oct, 2025"
steam,3405340,TR,USD,5.79,5.79,0,"18 Sep, 2025"
steam,2807960,GB,GBP,59.99,59.99,0,"10 Oct, 2025"
steam,1857950,AR,USD,10.49,10.49,0,"24 Oct, 2025"
steam,3167020,GB,GBP,17.99,17.99,0,"16 Oct, 2025"
steam,1466860,FR,EUR,39.99,39.99,0,"28 Oct, 2021"
steam,1086940,FR,EUR,59.99,59.99,0,"3 Aug, 2023"
steam,553850,CN,CNY,198.0,198.0,0,"8 Feb, 2024"
steam,436780,DE,EUR,27.99,22.39,20,"3 Nov, 2025"
steam,252490,FR,EUR,39.99,23.99,40,"8 Feb, 2018"
steam,2300320,JP,JPY,3948.0,3948.0,0,"12 Nov, 2024"
steam,3551340,AR,USD,49.99,49.99,0,"4 Nov, 2025"
steam,3606480,US,USD,69.99,69.99,0,"Nov 13, 2025"
steam,3450310,CN,CNY,238.0,238.0,0,"4 Nov, 2025"
steam,2968420,DE,EUR,24.99,24.99,0,"23 Oct, 2025"
steam,1295660,DE,EUR,69.99,45.49,35,"10 Feb, 2025"
steam,1151340,CA,CAD,54.99,54.99,0,"14 Apr, 2020"
steam,436780,FR,EUR,27.99,22.39,20,"3 Nov, 2025"
steam,1174180,PL,PLN,429.0,85.8,80,"5 Dec, 2019"
steam,3067190,PL,PLN,86.0,86.0,0,"4 Nov, 2025"
steam,1627720,CA,CAD,79.99,39.99,50,"18 Sep, 2023"
steam,1903340,JP,JPY,7480.0,5984.0,20,"24 Apr, 2025"
steam,2300320,DE,EUR,29.99,29.99,0,"12 Nov, 2024"
steam,3450310,AR,USD,35.99,35.99,0,"4 Nov, 2025"
steam,2062430,US,USD,14.99,14.99,0,"Oct 15, 2025"
steam,1174180,TR,USD,99.99,19.99,80,"5 Dec, 2019"
steam,3067190,TR,USD,9.99,9.99,0,"4 Nov, 2025"
steam,2807960,DE,EUR,69.99,69.99,0,"10 Oct, 2025"
steam,3606480,AU,AUD,109.95,109.95,0,"13 Nov, 2025"
steam,1857950,CA,CAD,26.99,26.99,0,"24 Oct, 2025"
steam,1675200,CA,CAD,499.0,499.0,0,"17 Jan, 2025"
steam,436780,JP,JPY,3400.0,2720.0,20,"3 Nov, 2025"
steam,2592160,PL,PLN,117.0,117.0,0,"22 Oct, 2025"
steam,1808500,JP,JPY,6000.0,6000.0,0,"30 Oct, 2025"
steam,3167020,FR,EUR,17.99,17.99,0,"16 Oct, 2025"
steam,1466860,DE,EUR,39.99,39.99,0,"28 Oct, 2021"
steam,252490,GB,GBP,34.99,20.99,40,"8 Feb, 2018"
steam,1466860,CA,CAD,49.99,49.99,0,"28 Oct, 2021"
steam,3405340,PL,PLN,36.13,36.13,0,"18 Sep, 2025"
steam,3551340,TR,USD,49.99,49.99,0,"4 Nov, 2025"
steam,3241660,CA,CAD,12.99,8.44,35,"26 Feb, 2025"
steam,3948510,GB,GBP,19.0,19.0,0,"30 Oct, 2025"
steam,1466860,PL,PLN,159.99,159.99,0,"28 Oct, 2021"
steam,1466860,CN,CNY,179.0,179.0,0,"28 Oct, 2021"
steam,3472040,AR,USD,79.99,39.99,50,"4 Sep, 2025"
steam,1984270,CN,CNY,298.0,298.0,0,"2 Oct, 2025"
steam,3405340,CA,CAD,12.99,12.99,0,"18 Sep, 2025"
steam,3230400,FR,EUR,69.99,69.99,0,"14 Aug, 2025"
steam,1984270,GB,GBP,54.99,54.99,0,"2 Oct, 2025"
steam,3606480,FR,EUR,79.99,79.99,0,"13 Nov, 2025"
steam,2300320,AU,AUD,54.95,54.95,0,"12 Nov, 2024"
steam,1984270,BR,BRL,319.9,319.9,0,"2 Oct, 2025"
steam,1174180,DE,EUR,99.99,19.99,80,"5 Dec, 2019"
steam,1158310,AR,USD,29.99,8.99,70,"1 Sep, 2020"
steam,2592160,US,USD,29.99,29.99,0,"Oct 22, 2025"
steam,1449110,TR,USD,48.99,48.99,0,"29 Oct, 2025"
steam,1295660,US,USD,69.99,45.49,35,"Feb 10, 2025"
steam,3230400,US,USD,69.99,69.99,0,"Aug 14, 2025"
steam,3405340,DE,EUR,9.75,9.75,0,"18 Sep, 2025"
steam,3405690,AR,USD,69.99,69.99,0,"25 Sep, 2025"
steam,3241660,AU,AUD,14.5,9.42,35,"26 Feb, 2025"
steam,2958130,DE,EUR,59.99,59.99,0,"21 Oct, 2025"
steam,3405340,BR,BRL,32.99,32.99,0,"18 Sep, 2025"
steam,1174180,CN,CNY,468.0,93.6,80,"5 Dec, 2019"
steam,3472040,PL,PLN,349.0,174.5,50,"4 Sep, 2025"
steam,1158310,US,USD,49.99,14.99,70,"Sep 1, 2020"
steam,3450310,TR,USD,35.99,35.99,0,"4 Nov, 2025"
steam,1151340,AU,AUD,54.95,54.95,0,"14 Apr, 2020"
steam,1903340,CN,CNY,218.0,174.4,20,"24 Apr, 2025"
steam,1086940,AR,USD,34.99,34.99,0,"3 Aug, 2023"
steam,436780,BR,BRL,89.99,71.99,20,"3 Nov, 2025"
steam,2592160,AU,AUD,43.95,43.95,0,"22 Oct, 2025"
steam,1449110,PL,PLN,299.0,299.0,0,"29 Oct, 2025"
steam,436780,GB,GBP,23.99,19.19,20,"3 Nov, 2025"
steam,1857950,JP,JPY,2300.0,2300.0,0,"24 Oct, 2025"
steam,3405340,GB,GBP,8.5,8.5,0,"18 Sep, 2025"
steam,1627720,AU,AUD,89.95,44.97,50,"18 Sep, 2023"
steam,553850,GB,GBP,34.99,34.99,0,"8 Feb, 2024"
steam,3551340,GB,GBP,49.99,49.99,0,"4 Nov, 2025"
steam,553850,CA,CAD,49.99,49.99,0,"8 Feb, 2024"
steam,252490,AR,USD,18.99,11.39,40,"8 Feb, 2018"
steam,2958130,CN,CNY,236.0,236.0,0,"21 Oct, 2025"
steam,3230400,CA,CAD,89.99,89.99,0,"14 Aug, 2025"
steam,3949040,AR,USD,4.49,4.49,0,"21 Oct, 2025"
steam,553850,PL,PLN,169.0,169.0,0,"8 Feb, 2024"
steam,2968420,TR,USD,12.49,12.49,0,"23 Oct, 2025"
steam,2300320,BR,BRL,143.95,143.95,0,"12 Nov, 2024"
steam,3167020,PL,PLN,64.88,64.88,0,"16 Oct, 2025"
steam,2592160,TR,USD,14.99,14.99,0,"22 Oct, 2025"
steam,2592160,DE,EUR,28.99,28.99,0,"22 Oct, 2025"
steam,1627720,US,USD,59.99,29.99,50,"Sep 18, 2023"
steam,3067190,FR,EUR,19.99,19.99,0,"4 Nov, 2025"
steam,1984270,DE,EUR,69.99,69.99,0,"2 Oct, 2025"
steam,3067190,AR,USD,9.99,9.99,0,"4 Nov, 2025"
steam,2300320,AR,USD,19.49,19.49,0,"12 Nov, 2024"
steam,3241660,TR,USD,5.79,3.76,35,"26 Feb, 2025"
steam,3230400,PL,PLN,299.9,299.9,0,"14 Aug, 2025"
steam,2958130,FR,EUR,59.99,59.99,0,"21 Oct, 2025"
steam,3472040,JP,JPY,10300.0,5150.0,50,"4 Sep, 2025"
steam,3450310,CA,CAD,79.99,79.99,0,"4 Nov, 2025"
steam,1151340,FR,EUR,39.99,39.99,0,"14 Apr, 2020"
steam,3405340,CN,CNY,42.0,42.0,0,"18 Sep, 2025"
steam,3450310,BR,BRL,219.99,219.99,0,"4 Nov, 2025"
steam,2300320,US,USD,29.99,29.99,0,"Nov 12, 2024"
steam,3606480,JP,JPY,9800.0,9800.0,0,"13 Nov, 2025"
steam,2592160,GB,GBP,24.99,24.99,0,"22 Oct, 2025"
steam,3880840,DE,EUR,24.99,24.99,0,"28 Oct, 2025"
steam,3450310,GB,GBP,49.99,49.99,0,"4 Nov, 2025"
steam,3880840,JP,JPY,3600.0,3600.0,0,"28 Oct, 2025"
steam,1174180,AU,AUD,149.95,29.99,80,"5 Dec, 2019"
steam,3241660,CN,CNY,42.0,27.3,35,"26 Feb, 2025"
steam,3450310,DE,EUR,59.99,59.99,0,"4 Nov, 2025"
steam,3067190,CA,CAD,26.99,26.99,0,"4 Nov, 2025"
steam,3405340,FR,EUR,9.75,9.75,0,"18 Sep, 2025"
steam,3241660,FR,EUR,9.75,6.33,35,"26 Feb, 2025"
steam,381210,GB,GBP,14.99,14.99,0,"14 Jun, 2016"
steam,252490,AU,AUD,59.95,35.97,40,"8 Feb, 2018"
steam,3880840,CA,CAD,34.99,34.99,0,"28 Oct, 2025"
steam,3405690,TR,USD,69.99,69.99,0,"25 Sep, 2025"
steam,1295660,TR,USD,69.99,45.49,35,"10 Feb, 2025"
steam,3167020,CA,CAD,24.78,24.78,0,"16 Oct, 2025"
steam,3880840,CN,CNY,138.0,138.0,0,"28 Oct, 2025"
steam,3606480,CA,CAD,89.99,89.99,0,"13 Nov, 2025"
steam,3405690,JP,JPY,9800.0,9800.0,0,"25 Sep, 2025"
steam,3949040,US,USD,7.99,7.99,0,"Oct 21, 2025"
steam,3472040,AU,AUD,119.95,59.97,50,"4 Sep, 2025"
steam,3551340,AU,AUD,94.95,94.95,0,"4 Nov, 2025"
steam,1295660,CA,CAD,89.99,58.49,35,"10 Feb, 2025"
steam,2807960,FR,EUR,69.99,69.99,0,"10 Oct, 2025"
steam,3067190,CN,CNY,98.0,98.0,0,"4 Nov, 2025"
steam,3606480,DE,EUR,79.99,79.99,0,"13 Nov, 2025"
steam,1675200,US,USD,399.0,399.0,0,"Jan 17, 2025"
steam,2300320,TR,USD,19.49,19.49,0,"12 Nov, 2024"
steam,3450310,PL,PLN,274.99,274.99,0,"4 Nov, 2025"
steam,2300320,GB,GBP,25.99,25.99,0,"12 Nov, 2024"
steam,381210,PL,PLN,71.99,71.99,0,"14 Jun, 2016"
steam,3230400,DE,EUR,69.99,69.99,0,"14 Aug, 2025"
steam,1086940,BR,BRL,199.99,199.99,0,"3 Aug, 2023"
steam,3230400,AU,AUD,109.95,109.95,0,"14 Aug, 2025"
steam,1449110,CN,CNY,298.0,298.0,0,"29 Oct, 2025"
steam,3949040,BR,BRL,26.49,26.49,0,"21 Oct, 2025"
steam,2968420,US,USD,24.99,24.99,0,"Oct 23, 2025"
steam,553850,AR,USD,39.99,39.99,0,"8 Feb, 2024"
steam,1857950,DE,EUR,16.99,16.99,0,"24 Oct, 2025"
steam,1808500,CN,CNY,199.64,199.64,0,"30 Oct, 2025"
steam,3949040,JP,JPY,920.0,920.0,0,"21 Oct, 2025"
steam,252490,US,USD,39.99,23.99,40,"Feb 8, 2018"
steam,553850,JP,JPY,4480.0,4480.0,0,"8 Feb, 2024"
steam,1903340,US,USD,49.99,39.99,20,"Apr 24, 2025"
steam,3948510,CA,CAD,30.99,30.99,0,"30 Oct, 2025"
steam,1675200,GB,GBP,349.0,349.0,0,"17 Jan, 2025"
steam,3551340,CA,CAD,79.99,79.99,0,"4 Nov, 2025"
steam,1857950,BR,BRL,59.99,59.99,0,"24 Oct, 2025"
steam,1675200,FR,EUR,419.0,419.0,0,"17 Jan, 2025"
steam,553850,TR,USD,39.99,39.99,0,"8 Feb, 2024"
steam,3230400,GB,GBP,59.99,59.99,0,"14 Aug, 2025"
steam,1151340,TR,USD,23.99,23.99,0,"14 Apr, 2020"
steam,1086940,CN,CNY,298.0,298.0,0,"3 Aug, 2023"
steam,2062430,TR,USD,7.99,7.99,0,"15 Oct, 2025"
steam,2300320,FR,EUR,29.99,29.99,0,"12 Nov, 2024"
steam,3949040,CN,CNY,33.0,33.0,0,"21 Oct, 2025"
steam,3167020,CN,CNY,58.0,58.0,0,"16 Oct, 2025"
steam,3948510,CN,CNY,99.82,99.82,0,"30 Oct, 2025"
steam,2968420,GB,GBP,19.99,19.99,0,"23 Oct, 2025"
steam,3948510,AU,AUD,30.38,30.38,0,"30 Oct, 2025"
steam,3241660,JP,JPY,1200.0,780.0,35,"26 Feb, 2025"
steam,1295660,CN,CNY,298.0,193.7,35,"10 Feb, 2025"
steam,3450310,US,USD,59.99,59.99,0,"Nov 4, 2025"
steam,1151340,US,USD,39.99,39.99,0,"Apr 14, 2020"
steam,2807960,CN,CNY,268.0,268.0,0,"10 Oct, 2025"
steam,3606480,TR,USD,69.99,69.99,0,"13 Nov, 2025"
steam,2807960,CA,CAD,89.99,89.99,0,"10 Oct, 2025"
steam,553850,DE,EUR,39.99,39.99,0,"8 Feb, 2024"
steam,3241660,GB,GBP,8.5,5.52,35,"26 Feb, 2025"
steam,2958130,BR,BRL,226.0,226.0,0,"21 Oct, 2025"
steam,3241660,DE,EUR,9.75,6.33,35,"26 Feb, 2025"
steam,3067190,GB,GBP,16.99,16.99,0,"4 Nov, 2025"
steam,3472040,BR,BRL,429.9,214.95,50,"4 Sep, 2025"
steam,2300320,PL,PLN,109.99,109.99,0,"12 Nov, 2024"
steam,2958130,AU,AUD,87.95,87.95,0,"21 Oct, 2025"
steam,2062430,BR,BRL,46.99,46.99,0,"15 Oct, 2025"
steam,3606480,AR,USD,69.99,69.99,0,"13 Nov, 2025"
steam,3948510,BR,BRL,85.92,85.92,0,"30 Oct, 2025"
steam,436780,CN,CNY,102.0,81.6,20,"3 Nov, 2025"
steam,1295660,GB,GBP,59.99,38.99,35,"10 Feb, 2025"
steam,1158310,CN,CNY,198.0,59.4,70,"1 Sep, 2020"
steam,3949040,DE,EUR,7.79,7.79,0,"21 Oct, 2025"
steam,1158310,DE,EUR,49.99,14.99,70,"1 Sep, 2020"
steam,3405690,US,USD,69.99,69.99,0,"Sep 25, 2025"
steam,3167020,BR,BRL,69.07,69.07,0,"16 Oct, 2025"
steam,1295660,FR,EUR,69.99,45.49,35,"10 Feb, 2025"
steam,3405340,AR,USD,5.79,5.79,0,"18 Sep, 2025"
steam,1627720,TR,USD,35.99,17.99,50,"18 Sep, 2023"
steam,3230400,TR,USD,69.99,69.99,0,"14 Aug, 2025"
steam,3606480,BR,BRL,349.9,349.9,0,"13 Nov, 2025"
steam,1808500,TR,USD,39.99,39.99,0,"30 Oct, 2025"
steam,436780,CA,CAD,37.99,30.39,20,"3 Nov, 2025"
steam,1295660,AU,AUD,119.95,77.96,35,"10 Feb, 2025"
steam,2062430,DE,EUR,14.99,14.99,0,"15 Oct, 2025"
steam,1627720,GB,GBP,49.99,24.99,50,"18 Sep, 2023"
steam,2592160,JP,JPY,3400.0,3400.0,0,"22 Oct, 2025"
steam,1903340,DE,EUR,49.99,39.99,20,"24 Apr, 2025"
steam,3230400,AR,USD,69.99,69.99,0,"14 Aug, 2025"
steam,1857950,FR,EUR,16.99,16.99,0,"24 Oct, 2025"
steam,553850,US,USD,39.99,39.99,0,"Feb 8, 2024"
steam,1808500,PL,PLN,154.99,154.99,0,"30 Oct, 2025"
steam,1086940,DE,EUR,59.99,59.99,0,"3 Aug, 2023"
steam,2062430,CN,CNY,58.0,58.0,0,"15 Oct, 2025"
steam,1449110,FR,EUR,69.99,69.99,0,"29 Oct, 2025"
steam,1151340,BR,BRL,155.0,155.0,0,"14 Apr, 2020"
steam,3405690,DE,EUR,69.99,69.99,0,"25 Sep, 2025"
steam,3067190,AU,AUD,29.95,29.95,0,"4 Nov, 2025"
steam,3230400,JP,JPY,9800.0,9800.0,0,"14 Aug, 2025"
steam,3948510,AR,USD,19.99,19.99,0,"30 Oct, 2025"
steam,436780,PL,PLN,89.99,71.99,20,"3 Nov, 2025"
steam,1295660,AR,USD,69.99,45.49,35,"10 Feb, 2025"
steam,3949040,TR,USD,4.49,4.49,0,"21 Oct, 2025"
steam,3880840,AU,AUD,39.95,39.95,0,"28 Oct, 2025"
steam,3551340,CN,CNY,268.0,268.0,0,"4 Nov, 2025"
steam,3606480,PL,PLN,349.0,349.0,0,"13 Nov, 2025"
steam,1151340,PL,PLN,169.9,169.9,0,"14 Apr, 2020"
steam,3880840,TR,USD,24.99,24.99,0,"28 Oct, 2025"
steam,1158310,FR,EUR,49.99,14.99,70,"1 Sep, 2020"
steam,3606480,CN,CNY,348.0,348.0,0,"13 Nov, 2025"
steam,3067190,BR,BRL,74.0,74.0,0,"4 Nov, 2025"
steam,3241660,AR,USD,5.79,3.76,35,"26 Feb, 2025"
steam,1086940,TR,USD,34.99,34.99,0,"3 Aug, 2023"
steam,3948510,JP,JPY,3000.0,3000.0,0,"30 Oct, 2025"
steam,3241660,BR,BRL,32.99,21.44,35,"26 Feb, 2025"
steam,3405340,AU,AUD,14.5,14.5,0,"18 Sep, 2025"
steam,3472040,CA,CAD,103.99,51.99,50,"4 Sep, 2025"
steam,252490,PL,PLN,119.99,71.99,40,"8 Feb, 2018"
steam,1857950,PL,PLN,72.99,72.99,0,"24 Oct, 2025"
steam,1466860,GB,GBP,29.99,29.99,0,"28 Oct, 2021"
steam,1449110,CA,CAD,89.99,89.99,0,"29 Oct, 2025"
steam,1174180,FR,EUR,99.99,19.99,80,"5 Dec, 2019"
steam,1675200,AR,USD,399.0,399.0,0,"17 Jan, 2025"
steam,3405690,AU,AUD,109.95,109.95,0,"25 Sep, 2025"
steam,1857950,US,USD,19.99,19.99,0,"Oct 24, 2025"
steam,1158310,GB,GBP,41.99,12.59,70,"1 Sep, 2020"
steam,436780,AR,USD,13.99,11.19,20,"3 Nov, 2025"
steam,1449110,JP,JPY,8900.0,8900.0,0,"29 Oct, 2025"
steam,3948510,US,USD,19.99,19.99,0,"Oct 30, 2025"
steam,3230400,CN,CNY,348.0,348.0,0,"14 Aug, 2025"
steam,3405690,PL,PLN,299.9,299.9,0,"25 Sep, 2025"
steam,2968420,FR,EUR,24.99,24.99,0,"23 Oct, 2025"
steam,1086940,CA,CAD,79.99,79.99,0,"3 Aug, 2023"
steam,2300320,CN,CNY,126.0,126.0,0,"12 Nov, 2024"
steam,1158310,PL,PLN,231.99,69.59,70,"1 Sep, 2020"
steam,381210,FR,EUR,19.99,19.99,0,"14 Jun, 2016"
steam,2592160,FR,EUR,28.99,28.99,0,"22 Oct, 2025"
steam,2592160,CN,CNY,108.0,108.0,0,"22 Oct, 2025"
steam,381210,CN,CNY,93.75,93.75,0,"14 Jun, 2016"
steam,3167020,TR,USD,12.99,12.99,0,"16 Oct, 2025"
steam,2062430,PL,PLN,63.99,63.99,0,"15 Oct, 2025"
steam,2968420,PL,PLN,89.0,89.0,0,"23 Oct, 2025"
steam,1174180,GB,GBP,99.99,19.99,80,"5 Dec, 2019"
steam,2958130,US,USD,59.99,59.99,0,"Oct 21, 2025"
steam,3067190,JP,JPY,2500.0,2500.0,0,"4 Nov, 2025"
steam,2807960,TR,USD,69.99,69.99,0,"10 Oct, 2025"
steam,1627720,DE,EUR,59.99,29.99,50,"18 Sep, 2023"
steam,381210,AU,AUD,28.95,28.95,0,"14 Jun, 2016"
steam,1295660,JP,JPY,8800.0,5720.0,35,"10 Feb, 2025"
steam,252490,BR,BRL,119.99,71.99,40,"8 Feb, 2018"
steam,2968420,JP,JPY,2970.0,2970.0,0,"23 Oct, 2025"
steam,1449110,GB,GBP,59.99,59.99,0,"29 Oct, 2025"
steam,1449110,DE,EUR,69.99,69.99,0,"29 Oct, 2025"
steam,1857950,TR,USD,10.49,10.49,0,"24 Oct, 2025"
steam,3551340,DE,EUR,59.99,59.99,0,"4 Nov, 2025"
steam,3405690,GB,GBP,59.99,59.99,0,"25 Sep, 2025"
steam,1808500,AU,AUD,60.78,60.78,0,"30 Oct, 2025"
steam,1158310,AU,AUD,69.95,20.98,70,"1 Sep, 2020"
steam,1808500,FR,EUR,39.99,39.99,0,"30 Oct, 2025"
steam,2592160,AR,USD,14.99,14.99,0,"22 Oct, 2025"
steam,2958130,CA,CAD,77.99,77.99,0,"21 Oct, 2025"
steam,553850,BR,BRL,199.5,199.5,0,"8 Feb, 2024"
steam,2958130,PL,PLN,274.99,274.99,0,"21 Oct, 2025"
steam,1158310,BR,BRL,179.99,53.99,70,"1 Sep, 2020"
steam,2968420,CN,CNY,88.0,88.0,0,"23 Oct, 2025"
steam,1808500,CA,CAD,57.99,57.99,0,"30 Oct, 2025"
steam,553850,FR,EUR,39.99,39.99,0,"8 Feb, 2024"
steam,3472040,CN,CNY,369.0,184.5,50,"4 Sep, 2025"
steam,2958130,JP,JPY,7000.0,7000.0,0,"21 Oct, 2025"
